Q,A
坚持思想建党和制度治党相统一，既要解决思想问题，也要解决制度问题，把（    ）作为根本任务，把制度建设贯穿到党的各项建设之中。,坚定理想信念
坚持行使权力和担当责任相统一，真正把（    ）作为最根本的政治担当，紧紧咬住“责任”二字，抓住“问责”这个要害。,落实管党治党政治责任
党中央作出的决策部署，所有党组织都要不折不扣贯彻落实，始终在政治立场、政治方向、政治原则、（    ）上同党中央保持高度一致。,政治道路
加强作风建设必须紧扣（    ）这个关键。,保持党同人民群众血肉联系
要加强（    ），使铁的纪律转化为党员、干部的日常习惯和自觉遵循。,纪律教育
（    ）是党的纪律检查机关履行职责的总依据。,党章
深化国家监察体制改革的根本目的，是（    ），推进国家治理体系和治理能力现代化。,加强党对反腐败工作的统一领导
各级领导干部要带头转变作风，经常摆摆表现、找找差距，坚持身体力行、以上率下，形成（    ）。,头雁效应
（    ）是全面从严治党的治本之策，为其他各项建设提供规范和保障。,纪律建设
全面从严治党是系统工程，要靠全党管全党治全党，必须发挥党的（    ），形成一级抓一级、全党动手一起抓的良好局面。,组织优势
根据《中国共产党巡视工作条例》，（    ）有义务向巡视组如实反映情况。,党员
根据《中国共产党巡视工作条例》，开展巡视巡察工作的（    ）承担巡视巡察工作的主体责任。,党组织
根据《中国共产党巡视工作条例》，巡视工作坚持中央统一领导、分级负责；坚持实事求是、依法依规；坚持（    ）。,群众路线、发扬民主
巡视期间，经巡视工作领导小组批准，对群众反映强烈、明显违反规定并且能够及时解决的问题，向（    ）提出处理建议。,被巡视党组织
根据《中国共产党巡视工作条例》，对巡视组进行管理和监督是（    ）的职责。,巡视工作领导小组
党的中央和省、自治区、直辖市委员会实行巡视制度，建立专职巡视机构，在（    ）任期内对所管理的地方、部门、企事业单位党组织全面巡视。,一届
根据《中国共产党巡视工作条例》，巡视工作人员实行任职回避、（    ）回避、公务回避。,地域
根据《中国共产党巡视工作条例》，巡视组依靠（    ）开展工作，不干预被巡视地区（单位）的正常工作。,被巡视党组织
根据《中国共产党巡视工作条例》，巡视组不履行（    ）的职责。,执纪审查
根据《中国共产党巡视工作条例》，（    ）为落实巡视整改工作的第一责任人。,被巡视党组织主要负责人
中国移动党风廉政建设及系统性预防和惩治腐败工作体系以（    ）为检验标准和尺度。,落地做实、有效管用
中国移动党风廉政建设及系统性预防和惩治腐败工作体系包括（    ）四大模块，模块之间相互咬合、互为补充、有机统一、动态循环。,教育、防控、惩治、问责
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系四大模块中，（    ）是基础，筑牢不想腐的思想基础。,教育
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系四大模块中，（    ）是条件，刚性约束和氛围约束共同发挥作用，形成不能腐的条件制约。,防控
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系四大模块中，（    ）是手段，营造不敢腐的形势压力。,惩治
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系四大模块中，（    ）是利器，促进责任明确和责任担当。,问责
党风廉政建设及系统性预防和惩治腐败工作体系四大模块中，（    ）是构建工作体系的关键切入口，有助于推动“不能腐”的体制机制有效运行。,防控
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系中，防控模块工作分为（    ）和氛围约束。,刚性约束
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系中，防控工作的刚性约束不包括（    ）。,第一种形态
在中国移动党风廉政建设及系统性预防和惩治腐败工作体系中，问责模块的核心工作是（    ），同时要做好与教育、防控、惩治的衔接。,责任追究
使用业务招待费时，可以采取预存一定的费用后续签单消费的方式。以上描述是否正确（    ）。,错误
因紧急重要接待任务需要，可以抽调部分营业员参加接待服务。以上描述是否正确（    ）。,错误
各单位领导人员离退休后，不得占用原单位办公用房，并应在办理退休手续后（    ）内腾退办公用房。,2个月
出差期间，房费以外的其他酒店消费（如洗衣、餐吧、水吧等个人消费），不得纳入住宿费进行报销。以上描述是否正确（    ）。,正确
内部业务招待活动，招待对象在10人以内的，陪同人数不得超过（    ）人。,3
在与供应商或合作方交往过程中，出于保密考虑，可以在非公共场所与供应商或合作方商谈业务。以上描述是否正确（    ）。,错误
内部业务招待活动，用餐标准每次人均不得超过（    ），不上酒、不得赠送纪念品。招待同一批次对象，原则上不超过（    ）。,150元，两次
